# Finding root of f with lin_interpol method:
# iteration 	 delta 	 r 	 a 	 b 	 f(r)
1 	 1.07e+01 	 3.73983742725648e-01 	 3.7398e-01 	 1.0000e+00 	 -1.07e+01
2 	 6.83e+00 	 5.85716211283260e-01 	 5.8572e-01 	 1.0000e+00 	 -6.83e+00
3 	 3.22e+00 	 6.87661928027287e-01 	 6.8766e-01 	 1.0000e+00 	 -3.22e+00
4 	 1.28e+00 	 7.29362889051195e-01 	 7.2936e-01 	 1.0000e+00 	 -1.28e+00
5 	 4.72e-01 	 7.44973677099093e-01 	 7.4497e-01 	 1.0000e+00 	 -4.72e-01
6 	 1.69e-01 	 7.50603822610668e-01 	 7.5060e-01 	 1.0000e+00 	 -1.69e-01
7 	 6.01e-02 	 7.52606049203646e-01 	 7.5261e-01 	 1.0000e+00 	 -6.01e-02
8 	 2.12e-02 	 7.53314487069538e-01 	 7.5331e-01 	 1.0000e+00 	 -2.12e-02
9 	 7.50e-03 	 7.53564697601386e-01 	 7.5356e-01 	 1.0000e+00 	 -7.50e-03
10 	 2.65e-03 	 7.53653012034609e-01 	 7.5365e-01 	 1.0000e+00 	 -2.65e-03
11 	 9.34e-04 	 7.53684176500714e-01 	 7.5368e-01 	 1.0000e+00 	 -9.34e-04
12 	 3.30e-04 	 7.53695172965089e-01 	 7.5370e-01 	 1.0000e+00 	 -3.30e-04
13 	 1.16e-04 	 7.53699052987494e-01 	 7.5370e-01 	 1.0000e+00 	 -1.16e-04
14 	 4.10e-05 	 7.53700422011565e-01 	 7.5370e-01 	 1.0000e+00 	 -4.10e-05
15 	 1.45e-05 	 7.53700905055255e-01 	 7.5370e-01 	 1.0000e+00 	 -1.45e-05
16 	 5.11e-06 	 7.53701075491205e-01 	 7.5370e-01 	 1.0000e+00 	 -5.11e-06
17 	 1.80e-06 	 7.53701135627381e-01 	 7.5370e-01 	 1.0000e+00 	 -1.80e-06
18 	 6.36e-07 	 7.53701156845669e-01 	 7.5370e-01 	 1.0000e+00 	 -6.36e-07
19 	 2.24e-07 	 7.53701164332273e-01 	 7.5370e-01 	 1.0000e+00 	 -2.24e-07
20 	 7.92e-08 	 7.53701166973826e-01 	 7.5370e-01 	 1.0000e+00 	 -7.92e-08
21 	 2.79e-08 	 7.53701167905865e-01 	 7.5370e-01 	 1.0000e+00 	 -2.79e-08
22 	 9.86e-09 	 7.53701168234723e-01 	 7.5370e-01 	 1.0000e+00 	 -9.86e-09
23 	 3.48e-09 	 7.53701168350756e-01 	 7.5370e-01 	 1.0000e+00 	 -3.48e-09
24 	 1.23e-09 	 7.53701168391697e-01 	 7.5370e-01 	 1.0000e+00 	 -1.23e-09
25 	 4.33e-10 	 7.53701168406143e-01 	 7.5370e-01 	 1.0000e+00 	 -4.33e-10
26 	 1.53e-10 	 7.53701168411239e-01 	 7.5370e-01 	 1.0000e+00 	 -1.53e-10
27 	 5.39e-11 	 7.53701168413038e-01 	 7.5370e-01 	 1.0000e+00 	 -5.39e-11
28 	 1.90e-11 	 7.53701168413672e-01 	 7.5370e-01 	 1.0000e+00 	 -1.90e-11
29 	 6.71e-12 	 7.53701168413896e-01 	 7.5370e-01 	 1.0000e+00 	 -6.71e-12
30 	 2.37e-12 	 7.53701168413975e-01 	 7.5370e-01 	 1.0000e+00 	 -2.37e-12
31 	 8.35e-13 	 7.53701168414003e-01 	 7.5370e-01 	 1.0000e+00 	 -8.35e-13
32 	 2.91e-13 	 7.53701168414013e-01 	 7.5370e-01 	 1.0000e+00 	 -2.91e-13
33 	 1.01e-13 	 7.53701168414016e-01 	 7.5370e-01 	 1.0000e+00 	 -1.01e-13
34 	 3.38e-14 	 7.53701168414018e-01 	 7.5370e-01 	 1.0000e+00 	 -3.38e-14
35 	 1.07e-14 	 7.53701168414018e-01 	 7.5370e-01 	 1.0000e+00 	 -1.07e-14
36 	 3.55e-15 	 7.53701168414018e-01 	 7.5370e-01 	 1.0000e+00 	 -3.55e-15
# After 36 iterations found root r = 7.5370116841401813e-01 with delta = 3.553e-15.
