# Finding root of f with bisection method:
# iteration 	 delta 	 r 	 a 	 b 	 f(r)
   1 	 5.00e-01 	 5.00000000000000e-01 	 5.0000e-01 	 1.0000e+00 	 -8.86e+00
   2 	 2.50e-01 	 7.50000000000000e-01 	 7.5000e-01 	 1.0000e+00 	 -2.02e-01
   3 	 1.25e-01 	 8.75000000000000e-01 	 7.5000e-01 	 8.7500e-01 	 8.28e+00
   4 	 6.25e-02 	 8.12500000000000e-01 	 7.5000e-01 	 8.1250e-01 	 3.59e+00
   5 	 3.12e-02 	 7.81250000000000e-01 	 7.5000e-01 	 7.8125e-01 	 1.59e+00
   6 	 1.56e-02 	 7.65625000000000e-01 	 7.5000e-01 	 7.6562e-01 	 6.70e-01
   7 	 7.81e-03 	 7.57812500000000e-01 	 7.5000e-01 	 7.5781e-01 	 2.28e-01
   8 	 3.91e-03 	 7.53906250000000e-01 	 7.5000e-01 	 7.5391e-01 	 1.13e-02
   9 	 1.95e-03 	 7.51953125000000e-01 	 7.5195e-01 	 7.5391e-01 	 -9.58e-02
  10 	 9.77e-04 	 7.52929687500000e-01 	 7.5293e-01 	 7.5391e-01 	 -4.24e-02
  11 	 4.88e-04 	 7.53417968750000e-01 	 7.5342e-01 	 7.5391e-01 	 -1.56e-02
  12 	 2.44e-04 	 7.53662109375000e-01 	 7.5366e-01 	 7.5391e-01 	 -2.15e-03
  13 	 1.22e-04 	 7.53784179687500e-01 	 7.5366e-01 	 7.5378e-01 	 4.56e-03
  14 	 6.10e-05 	 7.53723144531250e-01 	 7.5366e-01 	 7.5372e-01 	 1.21e-03
  15 	 3.05e-05 	 7.53692626953125e-01 	 7.5369e-01 	 7.5372e-01 	 -4.70e-04
  16 	 1.53e-05 	 7.53707885742188e-01 	 7.5369e-01 	 7.5371e-01 	 3.69e-04
  17 	 7.63e-06 	 7.53700256347656e-01 	 7.5370e-01 	 7.5371e-01 	 -5.01e-05
  18 	 3.81e-06 	 7.53704071044922e-01 	 7.5370e-01 	 7.5370e-01 	 1.60e-04
  19 	 1.91e-06 	 7.53702163696289e-01 	 7.5370e-01 	 7.5370e-01 	 5.47e-05
  20 	 9.54e-07 	 7.53701210021973e-01 	 7.5370e-01 	 7.5370e-01 	 2.29e-06
  21 	 4.77e-07 	 7.53700733184814e-01 	 7.5370e-01 	 7.5370e-01 	 -2.39e-05
  22 	 2.38e-07 	 7.53700971603394e-01 	 7.5370e-01 	 7.5370e-01 	 -1.08e-05
  23 	 1.19e-07 	 7.53701090812683e-01 	 7.5370e-01 	 7.5370e-01 	 -4.27e-06
  24 	 5.96e-08 	 7.53701150417328e-01 	 7.5370e-01 	 7.5370e-01 	 -9.89e-07
  25 	 2.98e-08 	 7.53701180219650e-01 	 7.5370e-01 	 7.5370e-01 	 6.49e-07
  26 	 1.49e-08 	 7.53701165318489e-01 	 7.5370e-01 	 7.5370e-01 	 -1.70e-07
  27 	 7.45e-09 	 7.53701172769070e-01 	 7.5370e-01 	 7.5370e-01 	 2.39e-07
  28 	 3.73e-09 	 7.53701169043779e-01 	 7.5370e-01 	 7.5370e-01 	 3.46e-08
  29 	 1.86e-09 	 7.53701167181134e-01 	 7.5370e-01 	 7.5370e-01 	 -6.78e-08
  30 	 9.31e-10 	 7.53701168112457e-01 	 7.5370e-01 	 7.5370e-01 	 -1.66e-08
  31 	 4.66e-10 	 7.53701168578118e-01 	 7.5370e-01 	 7.5370e-01 	 9.02e-09
  32 	 2.33e-10 	 7.53701168345287e-01 	 7.5370e-01 	 7.5370e-01 	 -3.78e-09
  33 	 1.16e-10 	 7.53701168461703e-01 	 7.5370e-01 	 7.5370e-01 	 2.62e-09
  34 	 5.82e-11 	 7.53701168403495e-01 	 7.5370e-01 	 7.5370e-01 	 -5.79e-10
  35 	 2.91e-11 	 7.53701168432599e-01 	 7.5370e-01 	 7.5370e-01 	 1.02e-09
  36 	 1.46e-11 	 7.53701168418047e-01 	 7.5370e-01 	 7.5370e-01 	 2.21e-10
  37 	 7.28e-12 	 7.53701168410771e-01 	 7.5370e-01 	 7.5370e-01 	 -1.79e-10
  38 	 3.64e-12 	 7.53701168414409e-01 	 7.5370e-01 	 7.5370e-01 	 2.15e-11
  39 	 1.82e-12 	 7.53701168412590e-01 	 7.5370e-01 	 7.5370e-01 	 -7.85e-11
  40 	 9.09e-13 	 7.53701168413500e-01 	 7.5370e-01 	 7.5370e-01 	 -2.85e-11
  41 	 4.55e-13 	 7.53701168413954e-01 	 7.5370e-01 	 7.5370e-01 	 -3.51e-12
  42 	 2.27e-13 	 7.53701168414182e-01 	 7.5370e-01 	 7.5370e-01 	 8.99e-12
  43 	 1.14e-13 	 7.53701168414068e-01 	 7.5370e-01 	 7.5370e-01 	 2.74e-12
  44 	 5.68e-14 	 7.53701168414011e-01 	 7.5370e-01 	 7.5370e-01 	 -3.87e-13
  45 	 2.84e-14 	 7.53701168414040e-01 	 7.5370e-01 	 7.5370e-01 	 1.18e-12
  46 	 1.42e-14 	 7.53701168414025e-01 	 7.5370e-01 	 7.5370e-01 	 3.94e-13
  47 	 7.11e-15 	 7.53701168414018e-01 	 7.5370e-01 	 7.5370e-01 	 1.78e-15
# After 47 iterations found root r = 7.53701168414018e-01 with delta = 7.105e-15.
