# Finding root of f with newton method:
# iteration 	 delta 	 r 	 a 	 b 	 f(r)
   1 	 5.59e+00 	 5.59016994374947e+00 	 5.5902e+00 	 0.0000e+00 	 2.93e+05
   2 	 4.74e-01 	 5.11608986249873e+00 	 5.1161e+00 	 0.0000e+00 	 1.10e+05
   3 	 4.98e-01 	 4.61858749440357e+00 	 4.6186e+00 	 0.0000e+00 	 4.19e+04
   4 	 5.36e-01 	 4.08239281758569e+00 	 4.0824e+00 	 0.0000e+00 	 1.61e+04
   5 	 5.89e-01 	 3.49330429894707e+00 	 3.4933e+00 	 0.0000e+00 	 6.18e+03
   6 	 6.32e-01 	 2.86172215201034e+00 	 2.8617e+00 	 0.0000e+00 	 2.26e+03
   7 	 6.14e-01 	 2.24764226013299e+00 	 2.2476e+00 	 0.0000e+00 	 7.77e+02
   8 	 5.26e-01 	 1.72121857838572e+00 	 1.7212e+00 	 0.0000e+00 	 2.53e+02
   9 	 4.11e-01 	 1.30981374529752e+00 	 1.3098e+00 	 0.0000e+00 	 7.89e+01
  10 	 2.96e-01 	 1.01397750795104e+00 	 1.0140e+00 	 0.0000e+00 	 2.27e+01
  11 	 1.80e-01 	 8.34178005671385e-01 	 8.3418e-01 	 0.0000e+00 	 5.11e+00
  12 	 7.04e-02 	 7.63791835424199e-01 	 7.6379e-01 	 0.0000e+00 	 5.65e-01
  13 	 9.91e-03 	 7.53880694879869e-01 	 7.5388e-01 	 0.0000e+00 	 9.87e-03
  14 	 1.79e-04 	 7.53701226291617e-01 	 7.5370e-01 	 0.0000e+00 	 3.18e-06
  15 	 5.79e-08 	 7.53701168414024e-01 	 7.5370e-01 	 0.0000e+00 	 3.32e-13
  16 	 6.00e-15 	 7.53701168414018e-01 	 7.5370e-01 	 0.0000e+00 	 1.78e-15
# After 16 iterations found root r = 7.53701168414018e-01 with delta = 5.995e-15.
